date,area,average_price,code,houses_sold,no_of_crimes
10/1/2001,city of london,263887,E09000001,26,0
11/1/2001,city of london,346458,E09000001,15,0
12/1/2001,city of london,362204,E09000001,17,0
1/1/2002,city of london,344239,E09000001,30,0
2/1/2002,city of london,284015,E09000001,12,0
3/1/2002,city of london,253697,E09000001,47,0
4/1/2002,city of london,245313,E09000001,31,0
5/1/2002,city of london,227281,E09000001,30,0
6/1/2002,city of london,253130,E09000001,25,0
7/1/2002,city of london,262428,E09000001,26,0
8/1/2002,city of london,274016,E09000001,51,0
9/1/2002,city of london,277047,E09000001,49,0
10/1/2002,city of london,271941,E09000001,19,0
11/1/2002,city of london,280283,E09000001,28,0
12/1/2002,city of london,262197,E09000001,44,0
1/1/2003,city of london,261645,E09000001,32,0
2/1/2003,city of london,263992,E09000001,20,0
3/1/2003,city of london,291969,E09000001,31,0
4/1/2003,city of london,295174,E09000001,30,0
5/1/2003,city of london,284860,E09000001,38,0
6/1/2003,city of london,267208,E09000001,84,0
7/1/2003,city of london,260204,E09000001,48,0
8/1/2003,city of london,245449,E09000001,46,0
9/1/2003,city of london,243184,E09000001,38,0
10/1/2003,city of london,252980,E09000001,33,0
11/1/2003,city of london,277515,E09000001,42,0
12/1/2003,city of london,305556,E09000001,38,0
1/1/2004,city of london,326913,E09000001,98,0
2/1/2004,city of london,301092,E09000001,16,0
3/1/2004,city of london,272731,E09000001,20,0
4/1/2004,city of london,269514,E09000001,25,0
5/1/2004,city of london,280062,E09000001,22,0
6/1/2004,city of london,297421,E09000001,38,0
7/1/2004,city of london,298293,E09000001,34,0
8/1/2004,city of london,307094,E09000001,46,0
9/1/2004,city of london,305126,E09000001,27,0
10/1/2004,city of london,289912,E09000001,24,0
11/1/2004,city of london,333075,E09000001,13,0
12/1/2004,city of london,331161,E09000001,14,0
1/1/2005,city of london,330363,E09000001,17,0
2/1/2005,city of london,288867,E09000001,18,0
3/1/2005,city of london,304851,E09000001,18,0
4/1/2005,city of london,317398,E09000001,32,0
5/1/2005,city of london,311442,E09000001,20,0
6/1/2005,city of london,282866,E09000001,33,0
7/1/2005,city of london,283641,E09000001,29,0
8/1/2005,city of london,305351,E09000001,26,0
9/1/2005,city of london,310906,E09000001,37,0
10/1/2005,city of london,338837,E09000001,14,0
11/1/2005,city of london,327256,E09000001,29,0
12/1/2005,city of london,339626,E09000001,30,0
1/1/2006,city of london,316121,E09000001,19,0
2/1/2006,city of london,323653,E09000001,17,0
3/1/2006,city of london,325106,E09000001,28,0
4/1/2006,city of london,319580,E09000001,24,0
5/1/2006,city of london,313126,E09000001,22,0
6/1/2006,city of london,304977,E09000001,29,0
7/1/2006,city of london,338307,E09000001,25,0
8/1/2006,city of london,358438,E09000001,30,0
9/1/2006,city of london,377545,E09000001,24,0
10/1/2006,city of london,365177,E09000001,33,0
11/1/2006,city of london,354438,E09000001,21,0
12/1/2006,city of london,365755,E09000001,22,0
1/1/2007,city of london,360923,E09000001,20,0
2/1/2007,city of london,399437,E09000001,25,7
3/1/2007,city of london,403144,E09000001,28,7
4/1/2007,city of london,419005,E09000001,22,7
5/1/2007,city of london,411183,E09000001,22,5
6/1/2007,city of london,436079,E09000001,19,10
7/1/2007,city of london,467348,E09000001,32,3
8/1/2007,city of london,473887,E09000001,27,8
9/1/2007,city of london,463525,E09000001,23,0
10/1/2007,city of london,456422,E09000001,19,0
11/1/2007,city of london,450831,E09000001,22,0
12/1/2007,city of london,464277,E09000001,11,0
1/1/2008,city of london,471861,E09000001,16,0
2/1/2008,city of london,453707,E09000001,33,0
3/1/2008,city of london,404849,E09000001,6,0
4/1/2008,city of london,382571,E09000001,5,0
5/1/2008,city of london,389733,E09000001,29,0
6/1/2008,city of london,420665,E09000001,9,0
7/1/2008,city of london,442352,E09000001,11,0
8/1/2008,city of london,472397,E09000001,8,0
9/1/2008,city of london,466082,E09000001,6,0
10/1/2008,city of london,440012,E09000001,9,0
11/1/2008,city of london,396155,E09000001,2,0
12/1/2008,city of london,387178,E09000001,6,0
1/1/2009,city of london,400317,E09000001,5,0
2/1/2009,city of london,393361,E09000001,6,0
3/1/2009,city of london,399220,E09000001,8,0
4/1/2009,city of london,345338,E09000001,9,0
5/1/2009,city of london,373504,E09000001,6,0
6/1/2009,city of london,348751,E09000001,18,0
7/1/2009,city of london,379109,E09000001,20,0
8/1/2009,city of london,360545,E09000001,20,0
9/1/2009,city of london,391138,E09000001,19,0
10/1/2009,city of london,399867,E09000001,19,0
11/1/2009,city of london,397909,E09000001,11,0
12/1/2009,city of london,411955,E09000001,16,0
1/1/2010,city of london,464436,E09000001,20,0
2/1/2010,city of london,490525,E09000001,9,0
3/1/2010,city of london,498241,E09000001,15,0
4/1/2010,city of london,458246,E09000001,22,
5/1/2010,city of london,454928,E09000001,21,
6/1/2010,city of london,428120,E09000001,29,
7/1/2010,city of london,420234,E09000001,24,
8/1/2010,city of london,442597,E09000001,21,
9/1/2010,city of london,455290,E09000001,20,
10/1/2010,city of london,456016,E09000001,12,
11/1/2010,city of london,430305,E09000001,12,
12/1/2010,city of london,445016,E09000001,31,
1/1/2011,city of london,442413,E09000001,16,
2/1/2011,city of london,504009,E09000001,12,
3/1/2011,city of london,475353,E09000001,19,
4/1/2011,city of london,516319,E09000001,21,
5/1/2011,city of london,459477,E09000001,28,
6/1/2011,city of london,466525,E09000001,22,
7/1/2011,city of london,420435,E09000001,19,
8/1/2011,city of london,421486,E09000001,27,
9/1/2011,city of london,436019,E09000001,25,
10/1/2011,city of london,450034,E09000001,21,
11/1/2011,city of london,478809,E09000001,21,
12/1/2011,city of london,496291,E09000001,24,
1/1/2012,city of london,525723,E09000001,11,
2/1/2012,city of london,510537,E09000001,17,
3/1/2012,city of london,527408,E09000001,9,
4/1/2012,city of london,524290,E09000001,12,
5/1/2012,city of london,573532,E09000001,12,
6/1/2012,city of london,542518,E09000001,21,
7/1/2012,city of london,543037,E09000001,16,
8/1/2012,city of london,496168,E09000001,17,
9/1/2012,city of london,525971,E09000001,15,
10/1/2012,city of london,521769,E09000001,17,
11/1/2012,city of london,521448,E09000001,22,
12/1/2012,city of london,491529,E09000001,28,
1/1/2013,city of london,465451,E09000001,16,
2/1/2013,city of london,499207,E09000001,20,
3/1/2013,city of london,527874,E09000001,18,
4/1/2013,city of london,590685,E09000001,13,
5/1/2013,city of london,578037,E09000001,31,
6/1/2013,city of london,662700,E09000001,11,
7/1/2013,city of london,651116,E09000001,29,
8/1/2013,city of london,645847,E09000001,94,
9/1/2013,city of london,529619,E09000001,104,
10/1/2013,city of london,527374,E09000001,54,
11/1/2013,city of london,546793,E09000001,22,
12/1/2013,city of london,615401,E09000001,21,
1/1/2014,city of london,625001,E09000001,26,
2/1/2014,city of london,648359,E09000001,17,
3/1/2014,city of london,654629,E09000001,36,
4/1/2014,city of london,665262,E09000001,19,
5/1/2014,city of london,682663,E09000001,22,
6/1/2014,city of london,697309,E09000001,21,
7/1/2014,city of london,724282,E09000001,15,
8/1/2014,city of london,761544,E09000001,27,
9/1/2014,city of london,753704,E09000001,18,
10/1/2014,city of london,763369,E09000001,12,
11/1/2014,city of london,762735,E09000001,39,
12/1/2014,city of london,773768,E09000001,71,
1/1/2015,city of london,783667,E09000001,37,
2/1/2015,city of london,760550,E09000001,39,
3/1/2015,city of london,767207,E09000001,35,
4/1/2015,city of london,729148,E09000001,21,
5/1/2015,city of london,762815,E09000001,24,
6/1/2015,city of london,776509,E09000001,19,
7/1/2015,city of london,779097,E09000001,17,
8/1/2015,city of london,760243,E09000001,18,
9/1/2015,city of london,767464,E09000001,35,
10/1/2015,city of london,781358,E09000001,21,
11/1/2015,city of london,741727,E09000001,11,
12/1/2015,city of london,713253,E09000001,31,
1/1/2016,city of london,736788,E09000001,15,
2/1/2016,city of london,765644,E09000001,36,
3/1/2016,city of london,794754,E09000001,35,
4/1/2016,city of london,805320,E09000001,7,
5/1/2016,city of london,845579,E09000001,9,
6/1/2016,city of london,907965,E09000001,7,
7/1/2016,city of london,911827,E09000001,7,
8/1/2016,city of london,848269,E09000001,8,
9/1/2016,city of london,780527,E09000001,8,
10/1/2016,city of london,792664,E09000001,11,
11/1/2016,city of london,818663,E09000001,16,
12/1/2016,city of london,811786,E09000001,13,
1/1/2017,city of london,820305,E09000001,11,
2/1/2017,city of london,820665,E09000001,9,
3/1/2017,city of london,853943,E09000001,18,
4/1/2017,city of london,906146,E09000001,20,
5/1/2017,city of london,939912,E09000001,21,
6/1/2017,city of london,930979,E09000001,19,
7/1/2017,city of london,854798,E09000001,20,
8/1/2017,city of london,847422,E09000001,21,
9/1/2017,city of london,836674,E09000001,29,
10/1/2017,city of london,818477,E09000001,17,
11/1/2017,city of london,790159,E09000001,14,
12/1/2017,city of london,778002,E09000001,20,
1/1/2018,city of london,802129,E09000001,34,
2/1/2018,city of london,783266,E09000001,27,
3/1/2018,city of london,740799,E09000001,19,
4/1/2018,city of london,732351,E09000001,14,
5/1/2018,city of london,796399,E09000001,19,
6/1/2018,city of london,789278,E09000001,87,
7/1/2018,city of london,809697,E09000001,32,
8/1/2018,city of london,784144,E09000001,22,
9/1/2018,city of london,800875,E09000001,40,
10/1/2018,city of london,802869,E09000001,30,
11/1/2018,city of london,764207,E09000001,31,
12/1/2018,city of london,811694,E09000001,37,
1/1/2019,city of london,865636,E09000001,10,
2/1/2019,city of london,894680,E09000001,10,
3/1/2019,city of london,853616,E09000001,14,
4/1/2019,city of london,738842,E09000001,20,
5/1/2019,city of london,718773,E09000001,7,
6/1/2019,city of london,743157,E09000001,16,
7/1/2019,city of london,719871,E09000001,13,
8/1/2019,city of london,777613,E09000001,17,
9/1/2019,city of london,792034,E09000001,11,
10/1/2019,city of london,827093,E09000001,4,
11/1/2019,city of london,777610,E09000001,5,
12/1/2019,city of london,734872,E09000001,,
1/1/2020,city of london,775309,E09000001,,
1/1/1995,barking and dagenham,50460,E09000002,96,
2/1/1995,barking and dagenham,51086,E09000002,95,
3/1/1995,barking and dagenham,51269,E09000002,144,
4/1/1995,barking and dagenham,53134,E09000002,109,
5/1/1995,barking and dagenham,53042,E09000002,149,
6/1/1995,barking and dagenham,53700,E09000002,148,
7/1/1995,barking and dagenham,52113,E09000002,117,
8/1/1995,barking and dagenham,52232,E09000002,150,
9/1/1995,barking and dagenham,51472,E09000002,112,
10/1/1995,barking and dagenham,51514,E09000002,120,
11/1/1995,barking and dagenham,50849,E09000002,127,
12/1/1995,barking and dagenham,50945,E09000002,109,
1/1/1996,barking and dagenham,50828,E09000002,94,
2/1/1996,barking and dagenham,51441,E09000002,154,
3/1/1996,barking and dagenham,51907,E09000002,152,
4/1/1996,barking and dagenham,51724,E09000002,125,
5/1/1996,barking and dagenham,51736,E09000002,143,
6/1/1996,barking and dagenham,50761,E09000002,142,
7/1/1996,barking and dagenham,50621,E09000002,178,
8/1/1996,barking and dagenham,51105,E09000002,164,
9/1/1996,barking and dagenham,51893,E09000002,156,
10/1/1996,barking and dagenham,52533,E09000002,172,
11/1/1996,barking and dagenham,52216,E09000002,217,
12/1/1996,barking and dagenham,53854,E09000002,184,
1/1/1997,barking and dagenham,54459,E09000002,153,
2/1/1997,barking and dagenham,55451,E09000002,169,
3/1/1997,barking and dagenham,55005,E09000002,192,
4/1/1997,barking and dagenham,55280,E09000002,175,
5/1/1997,barking and dagenham,54937,E09000002,202,
6/1/1997,barking and dagenham,55287,E09000002,203,
7/1/1997,barking and dagenham,55659,E09000002,265,
8/1/1997,barking and dagenham,56507,E09000002,244,
9/1/1997,barking and dagenham,56306,E09000002,214,
10/1/1997,barking and dagenham,57200,E09000002,244,
11/1/1997,barking and dagenham,57575,E09000002,188,
12/1/1997,barking and dagenham,58025,E09000002,185,
1/1/1998,barking and dagenham,57559,E09000002,152,
2/1/1998,barking and dagenham,57360,E09000002,153,
3/1/1998,barking and dagenham,57908,E09000002,190,
4/1/1998,barking and dagenham,59196,E09000002,202,
5/1/1998,barking and dagenham,60356,E09000002,206,
6/1/1998,barking and dagenham,60583,E09000002,191,
7/1/1998,barking and dagenham,60412,E09000002,321,
8/1/1998,barking and dagenham,60837,E09000002,221,
9/1/1998,barking and dagenham,61485,E09000002,236,
10/1/1998,barking and dagenham,62005,E09000002,242,
11/1/1998,barking and dagenham,62240,E09000002,202,
12/1/1998,barking and dagenham,63488,E09000002,180,
1/1/1999,barking and dagenham,64532,E09000002,177,
2/1/1999,barking and dagenham,64166,E09000002,141,
3/1/1999,barking and dagenham,63528,E09000002,197,
4/1/1999,barking and dagenham,63580,E09000002,225,
5/1/1999,barking and dagenham,64508,E09000002,197,
6/1/1999,barking and dagenham,64704,E09000002,251,
7/1/1999,barking and dagenham,64921,E09000002,304,
8/1/1999,barking and dagenham,65385,E09000002,231,
9/1/1999,barking and dagenham,66003,E09000002,204,
10/1/1999,barking and dagenham,66367,E09000002,238,
11/1/1999,barking and dagenham,67344,E09000002,254,
12/1/1999,barking and dagenham,68812,E09000002,267,
1/1/2000,barking and dagenham,71079,E09000002,182,
2/1/2000,barking and dagenham,72633,E09000002,191,
3/1/2000,barking and dagenham,73624,E09000002,216,
4/1/2000,barking and dagenham,73800,E09000002,214,
5/1/2000,barking and dagenham,75126,E09000002,240,
6/1/2000,barking and dagenham,76939,E09000002,294,
7/1/2000,barking and dagenham,78869,E09000002,305,
8/1/2000,barking and dagenham,80150,E09000002,240,
9/1/2000,barking and dagenham,81761,E09000002,223,
10/1/2000,barking and dagenham,82501,E09000002,196,
11/1/2000,barking and dagenham,82386,E09000002,227,
12/1/2000,barking and dagenham,81726,E09000002,285,
1/1/2001,barking and dagenham,82343,E09000002,215,1771
2/1/2001,barking and dagenham,83266,E09000002,238,1600
3/1/2001,barking and dagenham,84058,E09000002,274,1759
4/1/2001,barking and dagenham,83965,E09000002,241,1643
5/1/2001,barking and dagenham,85124,E09000002,283,1809
6/1/2001,barking and dagenham,86732,E09000002,292,1835
7/1/2001,barking and dagenham,89194,E09000002,289,1774
8/1/2001,barking and dagenham,90462,E09000002,321,1828
9/1/2001,barking and dagenham,92610,E09000002,251,1692
10/1/2001,barking and dagenham,93584,E09000002,270,1743
11/1/2001,barking and dagenham,95918,E09000002,282,1601
12/1/2001,barking and dagenham,96712,E09000002,247,1421
1/1/2002,barking and dagenham,98713,E09000002,216,1751
2/1/2002,barking and dagenham,100229,E09000002,198,1529
3/1/2002,barking and dagenham,101633,E09000002,261,1626
4/1/2002,barking and dagenham,103885,E09000002,285,1685
5/1/2002,barking and dagenham,105761,E09000002,335,1872
6/1/2002,barking and dagenham,108615,E09000002,307,1630
7/1/2002,barking and dagenham,111983,E09000002,347,1757
8/1/2002,barking and dagenham,115548,E09000002,350,1651
9/1/2002,barking and dagenham,118331,E09000002,268,1600
10/1/2002,barking and dagenham,122940,E09000002,312,1753
11/1/2002,barking and dagenham,127316,E09000002,300,1631
12/1/2002,barking and dagenham,131709,E09000002,270,1555
1/1/2003,barking and dagenham,134750,E09000002,254,1652
2/1/2003,barking and dagenham,138195,E09000002,219,1473
3/1/2003,barking and dagenham,142207,E09000002,247,1786
4/1/2003,barking and dagenham,142192,E09000002,254,1620
5/1/2003,barking and dagenham,142797,E09000002,248,1887
6/1/2003,barking and dagenham,141957,E09000002,325,1782
7/1/2003,barking and dagenham,142223,E09000002,329,1832
8/1/2003,barking and dagenham,142792,E09000002,339,1774
9/1/2003,barking and dagenham,141707,E09000002,361,1711
10/1/2003,barking and dagenham,145136,E09000002,347,2049
11/1/2003,barking and dagenham,146331,E09000002,318,1940
12/1/2003,barking and dagenham,149701,E09000002,374,1579
1/1/2004,barking and dagenham,150115,E09000002,321,1768
2/1/2004,barking and dagenham,152688,E09000002,297,1823
3/1/2004,barking and dagenham,153591,E09000002,368,1974
4/1/2004,barking and dagenham,154014,E09000002,302,1860
5/1/2004,barking and dagenham,154361,E09000002,322,1907
6/1/2004,barking and dagenham,156951,E09000002,351,1833
7/1/2004,barking and dagenham,159227,E09000002,330,1769
8/1/2004,barking and dagenham,160620,E09000002,316,1717
9/1/2004,barking and dagenham,162821,E09000002,292,1693
10/1/2004,barking and dagenham,164422,E09000002,254,1711
11/1/2004,barking and dagenham,165172,E09000002,255,1701
12/1/2004,barking and dagenham,164130,E09000002,208,1515
1/1/2005,barking and dagenham,164484,E09000002,183,1694
2/1/2005,barking and dagenham,162324,E09000002,168,1584
3/1/2005,barking and dagenham,161927,E09000002,213,1822
4/1/2005,barking and dagenham,162771,E09000002,191,1713
5/1/2005,barking and dagenham,164000,E09000002,223,1846
6/1/2005,barking and dagenham,165770,E09000002,275,1634
7/1/2005,barking and dagenham,162428,E09000002,303,1802
8/1/2005,barking and dagenham,164000,E09000002,279,1877
9/1/2005,barking and dagenham,163111,E09000002,263,1622
10/1/2005,barking and dagenham,164179,E09000002,262,1842
11/1/2005,barking and dagenham,162695,E09000002,267,1737
12/1/2005,barking and dagenham,162642,E09000002,263,1542
1/1/2006,barking and dagenham,162340,E09000002,208,2002
2/1/2006,barking and dagenham,163024,E09000002,256,1675
3/1/2006,barking and dagenham,162004,E09000002,295,1863
4/1/2006,barking and dagenham,164204,E09000002,253,1811
5/1/2006,barking and dagenham,166048,E09000002,262,1909
6/1/2006,barking and dagenham,169013,E09000002,341,1825
7/1/2006,barking and dagenham,170204,E09000002,352,1808
8/1/2006,barking and dagenham,171177,E09000002,345,1756
9/1/2006,barking and dagenham,170251,E09000002,314,1760
10/1/2006,barking and dagenham,170091,E09000002,334,1853
11/1/2006,barking and dagenham,171598,E09000002,366,1872
12/1/2006,barking and dagenham,174285,E09000002,328,1493
1/1/2007,barking and dagenham,176577,E09000002,257,1790
2/1/2007,barking and dagenham,177051,E09000002,285,1526
3/1/2007,barking and dagenham,179011,E09000002,337,1754
4/1/2007,barking and dagenham,179847,E09000002,284,1716
5/1/2007,barking and dagenham,181828,E09000002,325,1679
6/1/2007,barking and dagenham,183476,E09000002,435,1607
7/1/2007,barking and dagenham,185929,E09000002,372,1569
8/1/2007,barking and dagenham,187337,E09000002,389,1559
9/1/2007,barking and dagenham,190223,E09000002,305,1585
10/1/2007,barking and dagenham,191576,E09000002,404,1721
11/1/2007,barking and dagenham,193603,E09000002,325,1630
12/1/2007,barking and dagenham,192458,E09000002,267,1518
1/1/2008,barking and dagenham,194235,E09000002,215,1667
2/1/2008,barking and dagenham,193699,E09000002,228,1626
3/1/2008,barking and dagenham,196257,E09000002,198,1588
4/1/2008,barking and dagenham,192932,E09000002,200,1731
5/1/2008,barking and dagenham,193573,E09000002,145,1609
6/1/2008,barking and dagenham,190727,E09000002,151,1659
7/1/2008,barking and dagenham,191067,E09000002,110,1790
8/1/2008,barking and dagenham,189100,E09000002,107,1689
9/1/2008,barking and dagenham,184659,E09000002,85,1430
10/1/2008,barking and dagenham,177921,E09000002,85,1630
11/1/2008,barking and dagenham,174390,E09000002,75,1602
12/1/2008,barking and dagenham,169722,E09000002,89,1506
1/1/2009,barking and dagenham,166798,E09000002,48,1660
2/1/2009,barking and dagenham,161879,E09000002,51,1631
3/1/2009,barking and dagenham,156811,E09000002,54,1892
4/1/2009,barking and dagenham,152209,E09000002,63,1735
5/1/2009,barking and dagenham,148433,E09000002,67,1707
6/1/2009,barking and dagenham,150194,E09000002,88,1649
7/1/2009,barking and dagenham,154105,E09000002,110,1705
8/1/2009,barking and dagenham,156272,E09000002,120,1622
9/1/2009,barking and dagenham,155827,E09000002,171,1618
10/1/2009,barking and dagenham,156674,E09000002,145,1600
11/1/2009,barking and dagenham,157272,E09000002,158,1554
12/1/2009,barking and dagenham,160889,E09000002,187,1425
1/1/2010,barking and dagenham,162905,E09000002,73,1603
2/1/2010,barking and dagenham,163023,E09000002,105,1521
3/1/2010,barking and dagenham,162831,E09000002,134,1752
4/1/2010,barking and dagenham,162756,E09000002,123,1669
5/1/2010,barking and dagenham,164903,E09000002,124,1655
6/1/2010,barking and dagenham,167148,E09000002,146,1757
7/1/2010,barking and dagenham,168661,E09000002,156,1783
8/1/2010,barking and dagenham,170216,E09000002,124,1684
9/1/2010,barking and dagenham,170253,E09000002,113,1609
10/1/2010,barking and dagenham,170298,E09000002,116,1608
11/1/2010,barking and dagenham,169250,E09000002,118,1620
12/1/2010,barking and dagenham,166485,E09000002,121,1221
1/1/2011,barking and dagenham,163821,E09000002,92,1485
2/1/2011,barking and dagenham,162484,E09000002,94,1438
3/1/2011,barking and dagenham,161660,E09000002,136,1648
4/1/2011,barking and dagenham,162401,E09000002,117,1635
5/1/2011,barking and dagenham,162703,E09000002,109,1744
6/1/2011,barking and dagenham,162304,E09000002,135,1631
7/1/2011,barking and dagenham,160895,E09000002,127,1635
8/1/2011,barking and dagenham,163477,E09000002,127,1695
9/1/2011,barking and dagenham,166865,E09000002,145,1427
10/1/2011,barking and dagenham,167493,E09000002,141,1430
11/1/2011,barking and dagenham,164847,E09000002,124,1518
12/1/2011,barking and dagenham,162631,E09000002,111,1444
1/1/2012,barking and dagenham,163899,E09000002,81,1538
2/1/2012,barking and dagenham,163607,E09000002,122,1402
3/1/2012,barking and dagenham,164438,E09000002,162,1683
4/1/2012,barking and dagenham,164731,E09000002,68,1363
5/1/2012,barking and dagenham,166503,E09000002,101,1500
6/1/2012,barking and dagenham,168049,E09000002,127,1412
7/1/2012,barking and dagenham,168007,E09000002,134,1450
8/1/2012,barking and dagenham,166180,E09000002,122,1402
9/1/2012,barking and dagenham,165304,E09000002,90,1304
10/1/2012,barking and dagenham,165328,E09000002,102,1431
11/1/2012,barking and dagenham,166508,E09000002,119,1516
12/1/2012,barking and dagenham,167813,E09000002,114,1363
1/1/2013,barking and dagenham,167919,E09000002,92,1558
2/1/2013,barking and dagenham,169461,E09000002,120,1492
3/1/2013,barking and dagenham,169414,E09000002,96,1449
4/1/2013,barking and dagenham,169968,E09000002,107,1359
5/1/2013,barking and dagenham,170475,E09000002,135,1363
6/1/2013,barking and dagenham,172652,E09000002,132,1265
7/1/2013,barking and dagenham,174604,E09000002,165,1500
8/1/2013,barking and dagenham,173720,E09000002,192,1279
9/1/2013,barking and dagenham,174761,E09000002,147,1265
10/1/2013,barking and dagenham,176821,E09000002,175,1372
11/1/2013,barking and dagenham,181910,E09000002,215,1416
12/1/2013,barking and dagenham,183099,E09000002,212,1217
1/1/2014,barking and dagenham,184884,E09000002,127,1311
2/1/2014,barking and dagenham,185428,E09000002,156,1253
3/1/2014,barking and dagenham,189877,E09000002,158,1507
4/1/2014,barking and dagenham,193077,E09000002,157,1253
5/1/2014,barking and dagenham,196620,E09000002,166,1324
6/1/2014,barking and dagenham,198040,E09000002,162,1353
7/1/2014,barking and dagenham,201936,E09000002,209,1403
8/1/2014,barking and dagenham,204974,E09000002,202,1289
9/1/2014,barking and dagenham,210412,E09000002,185,1414
10/1/2014,barking and dagenham,213903,E09000002,237,1359
11/1/2014,barking and dagenham,216631,E09000002,201,1477
12/1/2014,barking and dagenham,218285,E09000002,299,1285
1/1/2015,barking and dagenham,220070,E09000002,204,1308
2/1/2015,barking and dagenham,222919,E09000002,184,1221
3/1/2015,barking and dagenham,222417,E09000002,183,1549
4/1/2015,barking and dagenham,222176,E09000002,162,1342
5/1/2015,barking and dagenham,221826,E09000002,167,1496
6/1/2015,barking and dagenham,227558,E09000002,218,1440
7/1/2015,barking and dagenham,235702,E09000002,200,1584
8/1/2015,barking and dagenham,241735,E09000002,185,1411
9/1/2015,barking and dagenham,243479,E09000002,209,1436
10/1/2015,barking and dagenham,243539,E09000002,235,1395
11/1/2015,barking and dagenham,246955,E09000002,221,1517
12/1/2015,barking and dagenham,253145,E09000002,237,1481
1/1/2016,barking and dagenham,258758,E09000002,158,1423
2/1/2016,barking and dagenham,262861,E09000002,214,1417
3/1/2016,barking and dagenham,266209,E09000002,351,1555
4/1/2016,barking and dagenham,266744,E09000002,137,1414
5/1/2016,barking and dagenham,268081,E09000002,144,1649
6/1/2016,barking and dagenham,269318,E09000002,179,1552
7/1/2016,barking and dagenham,274243,E09000002,182,1621
8/1/2016,barking and dagenham,279484,E09000002,159,1445
9/1/2016,barking and dagenham,283654,E09000002,187,1460
10/1/2016,barking and dagenham,286210,E09000002,160,1411
11/1/2016,barking and dagenham,285853,E09000002,178,1394
