District_code,State_name,District_name,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,92526,81952,10574,16894,6105,1520,275311,22950,2306,17961,48,16,61407,30503,14055,177277,88246,53022
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,294035,158791,135244,196665,9193,4521,479782,32455,1559,2745,1740,57,64515,40440,15506,306555,130606,81566
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,675170,403756,271414,303007,54849,15662,1461140,19797,3023,8929,14511,194,284124,192936,91236,766581,419172,319420
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,19295,10763,8532,11227,572,167,11649,74,212,35,19572,3,3934,3557,2378,15928,9181,6200
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,269084,148829,120255,197141,12372,2707,415669,2974,1568,1396,15377,94,58122,39081,23168,244727,120510,72282
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,572671,297464,275207,387944,15822,7134,981412,9460,876,4081,2628,43,180188,128549,54139,524285,279321,194661
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,241931,118724,123207,147103,8824,3347,449412,3711,243,591,95,293,91184,64363,35620,224044,123941,106641
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,215346,141612,73734,84800,19604,3427,480138,14275,390,26009,56,70,105204,60626,32120,273223,142351,105358
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,205871,111543,94328,127169,4138,2561,371973,6984,236,2387,113,10,64730,45695,25474,193671,107367,80497
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,298737,190001,108736,141267,10283,4969,548579,14678,1452,13926,574,591,95232,59363,36803,321533,167168,90808
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,280083,169399,110684,182958,10730,5313,476830,33215,577,15501,2645,236,67080,38282,23352,310244,136839,82471
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,430926,258628,172298,249786,26114,7967,791449,11810,2025,4047,3262,185,141490,95341,80414,425721,241956,145577
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,56273,33863,22410,32995,2537,944,64732,448,485,249,18086,29,11140,7871,5118,42360,26599,15075
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,757138,637652,119486,147912,100684,30903,1074332,27667,176587,1002874,405,580,372317,243539,104345,1261421,611353,423301
36,PUNJAB,Kapurthala,815168,426311,388857,576567,284165,235562,48603,55252,42387,9861,336124,10190,5445,453692,6662,553,128828,77442,48221,433331,222324,157833
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1622537,774472,639484,134988,85695,66664,29762,1394329,30233,26016,718363,11385,4011,339758,216646,162965,1159156,616431,416449
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1199699,499822,412506,87316,89772,74362,15990,1000743,23089,14968,538208,3476,2034,301435,176013,93618,831741,422782,330671
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,438459,204329,170252,34077,42608,22626,9011,401368,6829,1479,192885,5885,695,101970,61643,26893,318597,163305,128310
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,214783,182777,32006,44245,21389,8048,152851,16808,1698,427521,48,178,95073,59555,34990,321018,166781,111028
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1284822,1053600,231222,140737,98646,71667,1502403,77713,16517,1863408,2007,19620,527568,318876,272280,1901528,980046,614258
42,PUNJAB,Moga,995746,525920,469826,627889,359172,292379,66793,91622,82397,18098,158414,9388,3277,818921,178,436,128693,85642,37417,535408,258826,194768
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,756695,596406,160289,191685,227971,14679,906408,6844,19358,1090815,454,1143,221806,147698,82448,1171770,525459,331259
44,PUNJAB,Muktsar,901896,475622,426274,524848,335326,272699,62627,86565,111014,5187,254920,4333,1681,638625,240,744,104682,62612,36905,495167,242628,162297
45,PUNJAB,Faridkot,617508,326671,290837,381285,221555,185049,36506,53230,54058,8225,141363,3125,1227,469789,155,1109,75419,48360,29838,336540,164962,113721
46,PUNJAB,Bathinda,1388525,743197,645328,844868,549986,432988,116998,141535,128382,14938,380569,16299,2474,984286,246,1266,163928,96329,70240,754927,377707,255283
47,PUNJAB,Mansa,769751,408732,361019,423560,328512,230739,97773,105963,90367,13442,156539,10375,917,598443,123,1577,85953,48663,27461,420050,200882,146103
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,660267,549661,110606,113182,89123,23647,783306,40043,5683,1059944,245,1914,256826,157435,141947,1042519,517079,335100
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,917856,735195,182661,124617,121599,41642,690939,12502,54344,1716935,876,3152,328229,203656,142399,1384987,667193,436496
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,380702,313639,67063,115853,81216,21328,60504,3855,6095,1044903,101,650,147856,83290,21322,641875,283645,190898
51,PUNJAB,Rupnagar,684627,357485,327142,502731,233676,186910,46766,45640,21520,12321,304481,14492,2094,361045,118,653,116836,68794,38823,365300,185424,131707
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,355995,283367,72628,40867,21791,13501,476276,29488,5342,478908,257,1257,147214,96568,105306,540872,281462,171656
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,568758,485129,83629,157191,91799,18578,389410,179116,2406,1077438,268,3222,220210,130155,73636,904316,435148,311621
54,PUNJAB,Barnala,595527,317522,278005,359831,209331,178163,31168,60340,40460,5132,112859,13100,622,467751,108,246,81545,43467,23657,322607,158413,114077
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,404136,328159,75977,2578,1687,4799,852574,51447,8720,138329,1160,1960,124707,98786,174528,602411,303748,148945
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,157276,84265,73011,117264,4387,3122,324859,3554,353,167,563,74,30901,24989,18882,202426,75997,51245
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,180940,93832,87108,121157,3845,5384,385818,4395,428,323,190,11,47703,32557,27168,229715,93182,67873
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,113032,52339,60693,83155,3200,2112,240170,1486,171,38,9,4,28916,21131,15096,141848,54979,44986
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,280442,140821,139621,187121,8129,4021,609835,7374,656,290,32,91,74008,58434,30704,368324,139371,109998
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,582768,458834,123934,77176,38195,22992,1424916,202057,13416,36454,11778,5117,206730,187700,247622,968517,446046,276280
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,274152,147373,126779,150607,13715,5635,660507,22931,2161,619,58,212,95590,74219,52076,380765,160183,145445
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,216490,113539,102951,137332,5432,6055,475105,6015,1401,260,185,13,56591,42086,28375,273494,116749,92517
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,123638,58708,64930,85125,8985,2991,257509,1440,397,46,102,7,31224,20785,10900,147488,60569,51672
64,UTTARAKHAND,Almora,622506,291081,331425,436497,298211,142460,155751,207617,10274,4312,611250,7752,1895,256,201,31,76148,53026,37742,351595,141238,128994
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,99566,60427,39139,59993,4032,1570,249563,8693,870,336,24,28,23610,18360,15110,156916,60722,41913
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,376181,256935,119246,137530,34742,9767,809717,120742,5091,17419,570,356,115317,98851,89101,562548,243095,147053
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,591458,444578,146880,122686,165250,26396,1104452,372267,6064,162768,505,738,169274,113661,111062,1042614,392370,212223
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,578121,497810,80311,93660,103115,19955,1214935,648119,4878,17364,709,2501,165003,114114,134182,1207120,435385,246229
69,HARYANA,Panchkula,561293,299679,261614,405318,211479,164865,46614,26682,12827,9870,490702,23451,2583,40951,1008,1626,69163,48306,83256,309078,157076,93606
70,HARYANA,Ambala,1128350,598703,529647,818025,372139,320120,52019,52871,57293,15753,955096,22143,3705,138202,381,4845,163544,97980,91472,617859,308126,201685
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,389233,342343,46890,61516,73251,12287,984929,138569,3646,84455,161,1555,159311,99170,82532,694813,317708,201386
72,HARYANA,Kurukshetra,964655,510976,453679,646893,336780,268556,68224,68908,85890,6726,805175,15970,1943,140395,214,375,120790,81964,71007,552034,250830,160216
73,HARYANA,Kaithal,1074304,571003,503301,646529,373899,292696,81203,128016,85651,9450,974520,8232,1769,87558,265,351,117753,82297,51043,630194,265813,176320
74,HARYANA,Karnal,1505324,797712,707612,978013,516062,411646,104416,112288,133723,15311,1341002,31650,2049,126207,532,1516,183590,124790,101387,884972,380409,234684
75,HARYANA,Panipat,1205437,646857,558580,786599,412318,328667,83651,72120,62358,15824,1083936,86622,2261,25064,289,4647,141473,91756,75774,739075,298764,167244
76,HARYANA,Sonipat,1450001,781299,668702,998316,523179,391085,132094,142344,101733,18184,1390149,45100,1405,4484,336,6033,224639,150760,101186,855201,360216,233318
77,HARYANA,Jind,1334152,713006,621146,832758,523422,368277,155145,230387,102071,9114,1276669,23016,889,29103,172,2594,154773,107994,64599,784085,335704,213478
78,HARYANA,Fatehabad,942011,495360,446651,557578,369083,263498,105585,132250,97997,6558,779243,8360,996,150969,171,1172,93526,61476,37741,555745,237009,147469
79,HARYANA,Sirsa,1295189,682582,612607,782897,502003,369462,132541,164297,147042,11952,940255,9524,2186,338962,370,2256,134559,83373,61620,750228,334344,208185
80,HARYANA,Hisar,1743931,931562,812369,1114311,691621,488321,203300,261120,144213,16097,1701061,21650,1945,12270,334,3620,202792,144626,105346,1017830,456536,265109
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,623006,430678,192328,288543,103788,14855,1611031,15515,873,2401,254,1016,218631,148995,104875,964960,405760,261428
82,HARYANA,Rohtak,1061204,568479,492725,747582,345967,272646,73321,95732,36568,8521,1043887,8185,732,3916,200,3491,168499,109596,100346,605741,269354,185685
83,HARYANA,Jhajjar,958405,514667,443738,676091,326534,250020,76514,112389,44845,9254,945693,8247,734,1042,105,645,145258,97457,58826,549975,245095,162356
84,HARYANA,Mahendragarh,922088,486665,435423,630255,338584,232935,105649,149146,38320,7639,913251,5660,301,1737,75,644,132765,94245,60296,530000,229392,161258
85,HARYANA,Rewari,900332,474335,425997,636947,337727,235326,102401,102698,28215,9782,889133,5713,701,1804,202,1525,139646,95807,65143,518747,230704,150557
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,544716,432456,112260,56046,27097,18228,1408801,70842,9725,15097,944,7451,219200,150120,233402,875531,428101,210307
87,HARYANA,Mewat,1089263,571162,518101,454897,289964,224642,65322,104237,55278,6023,221846,862647,1235,592,516,1453,41836,22265,12453,790930,186916,110688
88,HARYANA,Faridabad,1809733,966110,843623,1272739,579229,476933,102296,27705,29288,32286,1588407,161680,9743,34572,640,4883,282666,178846,259933,1095602,481318,231029
89,HARYANA,Palwal,1042708,554497,488211,599796,309563,241464,68099,91506,60685,8566,826342,208566,932,3971,345,915,102626,65963,43780,684189,224043,133913
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1188545,1022419,166126,11433,13289,35896,3211042,291330,14100,92129,2281,43460,613393,519808,465677,2138591,1013424,503055
91,NCT OF DELHI,North,887978,475002,412976,681517,296446,257575,38871,2187,1791,11028,726443,119792,7256,19066,1824,13049,126121,97744,107099,506601,256501,124513
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,661386,594353,67033,2235,2406,30738,1529337,657585,9123,17424,2388,24673,341540,212438,122983,1393078,581016,264663
93,NCT OF DELHI,East,1709346,907500,801846,1352998,579692,486951,92741,1156,3094,19541,1410852,178807,15792,53027,2643,46927,267825,235187,246988,948963,497157,262124
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,59541,46940,12601,121,275,1030,124482,8480,4852,2933,312,679,15942,17742,23934,76076,43913,21773
95,NCT OF DELHI,Central,582320,307821,274499,442360,207374,177621,29753,597,601,10902,364148,194278,3527,13038,362,5886,83244,62124,80251,317650,169533,94448
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,874320,732598,141722,2952,4358,29022,2087294,149807,18337,271752,1993,11322,369114,327114,440295,1399165,732515,408953
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,795352,667977,127375,9733,7753,18614,2102743,112691,31226,31692,2784,9215,335645,308513,400800,1296955,683209,308675
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,924393,775592,148801,2984,5908,25081,2155759,445914,41880,69520,3862,11020,430091,354078,458858,1588001,785085,355602
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,912672,596320,316352,268297,230438,13790,1437144,50688,2077,474853,938,1988,163098,105734,104071,1167889,502211,283484
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,835260,512802,322458,370452,166833,13839,1433067,118673,1542,216997,241,1935,153628,104087,84185,1058044,453114,242361
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,986208,640572,345636,499223,103833,26244,2073356,235741,1901,20072,285,30850,143669,80296,101714,1543867,517271,288165
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,902829,541404,361425,572644,87983,16594,1777879,249736,958,402,188,7104,161520,100677,77282,1293193,458725,272176
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,894649,541392,353257,521692,68878,13472,1905682,228178,1004,275,56,548,256621,192240,158936,1298780,494124,330126
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1708542,994171,714371,898891,216772,34562,3039279,547335,2696,64532,4384,13221,324050,230415,222622,2346721,836000,490137
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,1071154,647198,423956,500994,238894,25068,2143046,371286,1576,23456,899,5758,211938,147520,132571,1659515,546362,329127
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,523212,339110,184102,229936,74342,12721,1127520,72258,688,1356,92,2739,77360,45590,37856,815651,248416,141365
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,628726,371058,257668,335302,115367,9521,1370977,81553,602,297,70,3424,104208,69443,67639,947173,310688,192042
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,578068,343802,234266,313358,88804,12070,1165505,155681,945,812,177,9991,87349,57625,70870,841697,309237,183234
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,684495,398151,286344,390960,76277,17185,1582335,45488,439,296,94,3737,135234,92559,90833,1047136,358718,210117
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2464893,1714947,749946,744374,131523,91011,5819980,687452,12708,18782,1020,81079,659389,455527,703673,4091148,1646480,884057
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,1006504,657854,348650,501311,87889,22776,2342076,327583,1122,356,177,4050,282595,200430,181282,1672813,605002,381226
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1425882,857031,568851,734614,263401,29647,2833443,454487,1912,366,163,12940,242053,147701,117444,2088323,754143,463469
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1489741,965103,524638,592370,242017,42412,3224399,411558,6035,4123,514,36697,259304,154789,177199,2359786,836322,489280
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,288903,182565,106338,132466,43872,6835,497045,168129,874,1723,98,1521,20142,12759,10604,448969,140294,79977
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,1202482,696240,506242,754260,132696,30565,2244882,321192,1157,450,157,34010,101291,52272,39533,1731122,527629,326476
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,896644,494906,401738,493355,158013,21867,1732852,78990,730,231,144,14640,75304,32366,25210,1176496,390598,249379
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,419829,272196,147633,124080,97823,9443,996562,30479,1284,572,114,6829,58213,30724,27076,649290,244401,142251
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,842327,523077,319250,243491,237280,26119,1870543,143476,1345,1540,141,18974,144581,71472,67021,1207983,467436,343384
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,1053722,686149,367573,298856,145523,35602,2201663,314159,10605,6799,417,45614,200191,130608,172683,1561077,629951,388040
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,649161,371848,277313,326083,113426,16004,1243527,153146,754,378,122,22458,91853,64431,67155,880194,334006,205593
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,526091,314806,211285,250453,111388,11172,1017688,66609,682,11059,144,13455,63248,41227,41052,686771,267648,155958
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,1148165,674589,473576,555168,163052,30149,2224839,142427,1978,1468,183,35149,141250,92785,106667,1439454,589476,365023
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,550831,319534,231297,207582,106587,13505,1105676,33677,759,260,100,14966,72969,41063,34286,687165,275099,193668
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,641515,346624,294891,227849,184330,12514,1340065,28662,830,240,226,16141,60656,42887,39312,868458,317700,191917
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,916574,482236,434338,546569,199370,19818,1701234,48834,22250,427,138,22613,75011,50438,47094,1153029,406214,216554
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,802755,456632,346123,453201,123469,15435,1413163,97855,1274,1515,252,25843,90889,58129,67155,880043,398303,258997
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,748811,534650,214161,140262,134992,25125,1661307,243993,5665,11058,280,25742,172538,118710,167778,1177474,495896,275396
128,RAJASTHAN,Baran,1222755,633945,588810,693307,552583,329754,222829,216538,185037,15258,1133349,79984,1432,3066,84,2795,76209,46847,49939,762204,286344,173100
129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,685950,402825,283125,328714,209772,11199,1299751,96164,842,819,46,12488,73388,46267,47985,850546,346110,213674
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,1365783,835839,529944,539106,302968,33535,2869976,104307,7406,4278,209,78647,164290,102085,142672,1876436,739287,451034
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,481294,251691,229603,306419,96815,5516,827293,25597,358,72,32,14077,35206,21854,19109,545987,204801,115608
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,2077108,1037344,911136,126208,221567,273050,34032,1966892,1454052,6523,18627,1937,10208,256510,163463,154153,2228689,769736,433862
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2417339,1291644,1081569,210075,336049,323641,45952,2382914,1711453,6495,18601,1516,16345,281747,148770,98691,2671757,911621,544283
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2135393,1088036,921497,166539,232158,311489,52549,2032081,1585210,6184,50624,1736,2134,255028,159528,148185,2404576,786305,450186
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2263848,1417811,1193439,224372,368638,338384,88733,2488265,2248392,13157,7555,1260,2426,296210,186311,186489,3168270,988486,525574
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1043666,737261,609693,127568,214187,230238,54238,1073890,1181337,9201,65316,384,1307,85117,51703,43839,1576123,491164,258913
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,983110,599089,459037,140052,217672,131877,31600,1075440,750368,5952,5295,189,517,161282,164763,69522,1227283,391275,215849
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2141488,1090539,898810,191729,196068,153995,63096,2183255,1185643,10582,24912,1855,18544,359944,254337,275076,2165117,780475,451827
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,797970,416695,342604,74091,124718,74500,20347,917474,364583,1840,483,161,16139,132197,79475,44164,817140,283276,194548
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3123264,1520538,1231615,288923,158868,123680,83672,3414427,1186776,19026,23001,3487,16412,597661,475439,255949,2891069,1139871,559963
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1122947,569109,443384,125725,72668,48845,35400,1394025,215500,7366,9261,895,4518,218587,194796,101645,1015648,402967,188862
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2031656,1173260,897815,275445,332475,241137,65937,2707195,777407,4088,2765,669,1572,338138,217882,151182,2246254,753949,472808
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2092567,1174361,929337,245024,281501,267197,78566,2904140,729283,7635,5875,2582,2805,334738,216997,172585,2378289,787408,472667
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,942572,484115,398126,85989,124231,154720,32402,1397225,159448,1350,524,424,1289,166861,89435,49812,1011157,339137,210083
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,1507746,840939,635142,205797,235886,179248,44453,2310776,216933,3179,2872,883,2056,233264,155937,103102,1600686,535738,327854
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,2680510,1389844,1119701,270143,285471,234455,94184,3922718,411313,10076,12057,4049,21508,450571,317618,199395,2871903,991255,547873
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,1521806,761521,621840,139681,184595,150221,59942,2140745,314812,3370,1804,3395,19077,277163,166249,108627,1621154,543730,312689
148,UTTAR PRADESH,Mainpuri,1868529,993377,875152,1203885,560840,466067,94773,270888,137174,24784,1746649,100723,1729,475,8814,4161,230731,144516,111696,1193660,402321,265638
149,UTTAR PRADESH,Budaun,3681896,1967759,1714137,1547477,1107343,939616,167727,575903,258758,40122,2867707,790515,6320,1135,1959,678,154425,86760,64222,2436051,748408,424194
150,UTTAR PRADESH,Bareilly,4448359,2357665,2090694,2191759,1401971,1153006,248965,365985,326376,131699,2830768,1536534,14822,28187,4371,931,272840,172554,146446,2893965,952233,514141
151,UTTAR PRADESH,Pilibhit,2031007,1072002,959005,1061095,618605,534939,83666,216476,224192,22782,1449007,489686,3510,84787,360,138,117838,77602,66129,1320476,449673,256276
152,UTTAR PRADESH,Shahjahanpur,3006538,1606403,1400135,1490930,892214,783313,108901,344973,275192,31141,2412595,527581,4630,51090,2312,301,158430,96308,87355,1961237,652237,368743
153,UTTAR PRADESH,Kheri,4021243,2123187,1898056,2034044,1264718,1058483,206235,529223,422142,47837,3078262,807600,7502,94388,18454,487,223669,129627,128548,2582597,896611,510832
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1422602,1171252,251350,571097,473554,70971,3555450,893725,6579,11611,2663,1410,221898,136383,127750,2862383,1000987,588318
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1318946,1091952,226994,596813,406830,59649,3508131,556219,5822,5688,6671,446,247265,138583,103523,2598364,905306,559988
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1124744,851014,273730,450123,332663,49243,2732016,363453,3574,1204,920,240,240024,136688,101934,1893706,706851,453462
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1542806,1226399,316407,175578,203029,99863,3537787,985070,20493,23883,3877,4975,428121,378742,639260,2678289,1161686,685258
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1204710,867393,337317,316891,507882,60774,2975998,413243,3634,2424,722,397,270775,182823,153041,2116007,776583,506583
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,592267,494545,97722,245089,135679,43528,1596278,276846,3137,3160,3161,487,184298,115069,110391,1224584,411153,246795
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,524676,430934,93742,239350,129517,51330,1375788,273967,1263,504,2033,606,175582,107628,95072,1069916,361028,223535
